ID,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Employment (Operational),proposal_url,Village Code,Employment (Construction),KML URLs,District,Project Description,Plot Number
130951793,New,IA/LD/CRZ/542968/2025,2025-06-27T10:17:51.519+00:00,2025-08-08T12:27:38.014+00:00,CRZ Granted,0.16,7840.0, DEPARTMENT OF PORT SHIPPING AND AVIATION UT OF LAKSHADWEEP,,CRZ clearance form,CRZ,,,"Construction of passenger jetty and associated landside facilities on the western side of the Kadmath Island, Lakshadweep.",LAKSHADWEEP,Kadmat,KADMAT ISLAND,,F.No.46/6/2025-LCZMA,,Hybrid,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-01T05:01:54.696+00:00,0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=130951793,627034,16425.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=130944405&refType=caf&uuid=0f62ae62-0c64-4175-b47c-700ed29d01de&version=1.0,Lakshadweep,"Kadmath island is the longest island among the four inhabited islands located in Aminidivi atoll between Amini island in south and Chetlat island in north, Kadmath is the centremost island of Lakshadweep Union Territory. For better and safe Intra-island travel Lakshadweep Administration has engaged Cochin Port Authority (CoPA) as Project Management Consultants for providing technical support / consultancy services for development of Kadmath Island. The proposed facilities are: ;i)	Construction of jetty of dimension 70 m long and 12 m wide ;ii)	Approach trestle connecting to land - 75 m long & width varying from 10 to 18.4 m. ;iii)	Finger jetty- 50 m long and 8.5 m wide;iv)	Boat landing centre- 75 m long and 20 m wide ;v)	3 storeyed passenger facilitation centre with modern amenities of plinth area 500 Sq. m ;vi)	Boat repair shed near boat landing centre of plinth area 150 Sq. m.;vii) Ice plant - 150 Sq.m;viii) Fuel Station 77 Sq. m;ix) Pumphouse -220 Sq. m;x) 2 Nos of external roads;;",
130946666,New,IA/LD/CRZ/542963/2025,2025-06-27T09:50:37.255+00:00,2025-08-08T12:24:02.348+00:00,CRZ Granted,0.5,25655.0, DEPARTMENT OF PORT SHIPPING AND AVIATION UT OF LAKSHADWEEP,,CRZ clearance form,CRZ,,,"Construction of passenger jetty and associated landside facilities on the eastern side of the Kadmath Island, Lakshadweep.",LAKSHADWEEP,Kadmat,KADMAT ISLAND,,F.No.46/6/2025-LCZMA,,Hybrid,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-01T04:51:15.188+00:00,0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=130946666,627034,21900.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=130941890&refType=caf&uuid=b703ed5c-373b-4d2d-844d-4ea82fd5f521&version=1.0,Lakshadweep,"Kadmath island is the longest island among the four inhabited islands located in Aminidivi atoll between Amini island in the south and Chetlat island in the north, Kadmath is the centremost island of Lakshadweep Union Territory.  For better and safer Intra-island travel Lakshadweep Administration has engaged Cochin Port Authority (CoPA) as Project Management Consultants for providing technical support / consultancy services for the development of Kadmath Island. The proposed facilities are: i) Construction of eastern jetty of dimension 360 x 20 m. ii)Construction of approach trestle connecting to land of dimension 310 m long and width varying from 10 m to 18.40 m. iii)	Construction of passenger facilitation centre with modern amenities of plinth area of about 525 Sq.m and total built-up area 1120 Sq. m. iv) Construction of security cabin near landfall of approach of 64 Sq.m. v)	Construction of warehouse near landfall of approach of plinth area 200 Sq.m. vi)  External Road (136 x 7 m); ",
129762744,Expansion,IA/LD/CRZ/541088/2025,2025-06-11T12:55:05.995+00:00,,Under Examination,1.5021,7840.0,Kavaratti Smart city Ltd,,CRZ clearance form,CRZ,,,Re-Design of Helibase with Night Landing Facilities at Kavaratti Island Lakshadweep ,LAKSHADWEEP,Kavaratti,Kavaratti (CT),,F.No.46/6/2025-LCZMA,"982/(2A2,3B,3A2,2A1B,1A1C,1A1B2AIA),  983/(1A2,1B,2B)",Non - Linear,1.5021,0.0,1.5021,0.604,0.0,0.604,866.0,6974.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-23T11:12:42.589+00:00,3668.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=129762744,627038,41760.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=127408461&refType=caf&uuid=8f258bd9-f2af-48d6-9ee8-cf86fa08acb1&version=1.0,Lakshadweep,"The project involves redevelopment of Helibase at Kavaratti. The facilities envisaged in the helbase includes Airfield comprising of hangers and active movement area, maintenance facilities, passenger terminal complex, ground access and parking, support facilities etc. The project is established in an area of 2.324 Ha.","982/(2A2,3B,3A2,2A1B,1A1C,1A1B2AIA),  983/(1A2,1B,2B)"
129244699,New,IA/LD/CRZ/540336/2025,2025-06-05T06:06:29.491+00:00,2025-08-08T12:19:22.294+00:00,CRZ Granted,0.5,10200.0, DEPARTMENT OF PORT SHIPPING AND AVIATION UT OF LAKSHADWEEP,,CRZ clearance form,CRZ,,,"Construction of passenger jetty and associated landside facilities on the western side of the Kalpeni island, Lakshadweep",LAKSHADWEEP,Kalpeni,KALPENI ISLAND,,F.No.46/6/2025-LCZMA,,Hybrid,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-05T06:32:59.743+00:00,0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=129244699,627054,13500.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=129238436&refType=caf&uuid=8c66ab9b-cb90-469c-b4e6-e1d5d9396839&version=1.0,Lakshadweep,"The proposed facilities are:;;i)Construction of jetty of dimension 70 m long and 12 m wide ,ii)Construction of approach trestle connecting to land of dimension 225 m long and width varying between 10 to 18.4 m ,iii)Construction of finger jetty of dimension 50 m long and 8.5 m wide, iv)Construction of a Boat landing center of dimension 75 m long and 20 m wide ,v)Construction of passenger facilitation centre with modern amenities of plinth area 500 m2 ,vi)Construction of boat repair shed near the boat landing centre of plinth area 150 m2,vii)Construction of Ice plant near the boat landing centre of plinth area 150 m2,viii)Construction of Fuel station near the boat landing centre of plinth area 77 m2,ix)Construction of fish collection yard near the boat landing centre of plinth area 135 m2. More details are given in the EIA report. ",
129235856,New,IA/LD/CRZ/540326/2025,2025-06-05T04:29:42.753+00:00,2025-08-08T12:12:00.334+00:00,CRZ Granted,0.5,23700.0, DEPARTMENT OF PORT SHIPPING AND AVIATION UT OF LAKSHADWEEP,,CRZ clearance form,CRZ,,," Construction of passenger jetty and associated landside facilities on the eastern side of the Kalpeni island, Lakshadweep.",LAKSHADWEEP,Kalpeni,NA,,F.No.46/6/2025-LCZMA,,Hybrid,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-05T05:05:28.381+00:00,0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=129235856,"",18000.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=129234866&refType=caf&uuid=66143fda-6b12-4331-b96c-9543dbf50f7d&version=1.0,Lakshadweep,"Kalpeni, the largest inhabited island in its atoll, is located at its southeast end and connected to the mainland by UTLA-operated passenger vessels during fair weather. For the better and safe Intra-island travel Lakshadweep Administration has engaged Cochin Port Authority (CoPA) as Project Management Consultants for providing technical support / consultancy services for the development of Kalpeni Island. The proposed facilities are:;;i)	Construction of jetty of dimension 360 m long and 20 m wide ;ii)	Construction of approach trestle connecting to land of dimension 130 m long and width varying from 10 m to 18.40 m ;iii)	Construction of passenger facilitation centre with modern amenities of plinth area 525 m2 ;iv)	Construction of security cabin near landfall of approach of plinth area 64 m2;v)	Construction of warehouse near landfall of approach of plinth area 200 m2;vi)	Construction of external road connecting to the existing road of dimension 75 m long and 7 m wide;",
123165904,New,IA/LD/CRZ/530999/2025,2025-03-24T05:14:23.052+00:00,,Proposal pulled back (withdrawn),1.246,1800.0,PRAVEG LIMITED,,CRZ clearance form,CRZ,,,"Praveg Atoll""s Resort, Bangaram",LAKSHADWEEP,Agatti,BANG>RAM ISLAND,,,"10A/2, 10A/3, 10A/4, 16A/2, 16A/3, 16A/4, 16A/5",Non - Linear,1.246,0.0,1.246,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-03-24T13:38:18.293+00:00,34675.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=123165904,627043,18000.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=117280023&refType=caf&uuid=3326eb50-bce9-4cf6-bab7-73e914b90828&version=1.0,Lakshadweep,"Establishment of a resort facility, encompassing accommodation, dining, recreational amenities, and associated infrastructure","10A/2, 10A/3, 10A/4, 16A/2, 16A/3, 16A/4, 16A/5"
110840102,New,IA/LD/CRZ/504098/2024,2024-11-05T10:34:10.148+00:00,2025-04-09T08:25:22.617+00:00,CRZ Granted,4.8,7013.0, SOLAR ENERGY CORPORATION OF INDIA LIMITED,,CRZ clearance form,CRZ,,,Floating Solar PV Power Plant for Lakshadweep Island (Kavaratti),LAKSHADWEEP,Kavaratti,KAVARATTI  ISLAND,11/24/2025-IA.III,F.No 45/06/2024-LCZMA,,Linear,4.8,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2024-11-05T12:28:02.324+00:00,27375.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=110840102,627038,29200.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=110778062&refType=caf&uuid=4862d210-8232-4a29-b566-aa744957e106&version=1.0,Lakshadweep,"The proposed Floating Solar PV project has a capacity of 5 MW (AC) / 6 MWp (DC) and includes essential components such as floats, PV modules, cables, and inverters, all installed on a lagoon. An onshore substation will connect the solar panels via an offshore marine cable, allowing solar power to be transmitted to a 16 MWh Battery Energy Storage System (BESS) or directly to transmission lines for further distribution to the local grid. At the Kavaratti location, the transmission line spans approximately 200 meters.",
110490919,Expansion,IA/LD/CRZ/503476/2024,2024-10-29T06:52:01.096+00:00,,Referred to SCZMA,3.0,5000.0, SOLAR ENERGY CORPORATION OF INDIA LIMITED,,CRZ clearance form,CRZ,,,cfewfefevf,LAKSHADWEEP,Kadmat,KADMAT ISLAND,,14526,kyy77,Non - Linear,3.0,0.0,3.0,1.0,0.0,1.0,3000.0,2000.0,0,0,0,Not applicable as the project or activity is site specific,,NO,YES,NO,2024-10-29T07:14:05.063+00:00,6000.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=110490919,627034,55000.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=110487063&refType=caf&uuid=b03a43f3-90e2-4a46-a937-85041c3449d2&version=1.0,Lakshadweep,dcwgfrfegegte,kyy77
91873839,New,IA/LD/INFRA1/491993/2024,2024-08-09T06:11:59.393+00:00,2025-05-04T10:26:54.272+00:00,ToR Granted,0.51,76571.0, DEPARTMENT OF PORT SHIPPING AND AVIATION UT OF LAKSHADWEEP,,Environment clearance form,TOR,A,"Ports, harbors, breakwaters, dredging",Development of Marine and Land facilities at Androth Island in Lakshadweep,LAKSHADWEEP,Andrott,ANDROTH ISLAND,10/21/2024-IA.III,,,Linear,0.51,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2024-08-12T05:08:43.475+00:00,0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=91873839,627046,27000.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=91869173&refType=caf&uuid=d8f07edc-8a90-46a5-8e79-d79abb0dd72f&version=1.0,Lakshadweep,Lakshadweep Administration has engaged Cochin Port Authority as Project Management Consultants for providing technical support / consultancy services to UTLA in development of Port and Shipping infrastructures and operation in Lakshadweep Islands. The proposed development consists of: ;;•	Refurbishment of the existing 530 m long breakwater;•	Extension of breakwater to an additional length of 490 m to ensure safe entry into harbour;•	Construction of 150 m multipurpose jetty to meet  requirements of Navy;•	Construction of 250 m multipurpose jetty to meet  requirements of UTLA;•	Dredging the basin to (-) 8.1 m CD;•	Berth corner lights and other Navigational aids required for night berthing;•	Development of slipway and ancillary facilities to facilitate fishermen and Navy;•	Development of storage facilities on reclaimed land;•	Redevelop passenger facilitation centre with modern amenities;•	Development of road connectivity;•	Providing utilities services including CCTV with night vision  ;;;,
